"","cor_val","pct_strong_vec","pct_wai_vec","pct_wbc_vec","type1_error_vec","power_vec"
"435",0.9,100,90,70,0,84
"436",0.9,100,20,40,0,44
"437",0.9,100,60,60,0,68
"438",0.9,100,40,40,0,52
"439",0.9,100,10,20,0,32
"440",0.9,100,40,70,0,64
"441",0.9,100,0,30,0,32
"442",0.9,100,40,40,0,52
"443",0.9,100,0,30,0,32
"444",0.9,100,0,30,0,32
"445",0.9,100,0,10,0,24
"446",0.9,100,20,20,0,36
"447",0.9,100,0,10,0,24
"448",0.9,100,0,30,0,32
"449",0.9,100,0,0,0,20
"450",0.9,100,20,30,0,40
"451",0.9,100,30,30,0,44
"452",0.9,100,0,30,0,32
"453",0.9,100,10,10,0,28
"454",0.9,100,20,50,0,48
"455",0.9,100,50,30,0,52
"456",0.9,100,0,40,0,36
"457",0.9,100,60,50,0,64
"458",0.9,100,20,20,0,36
"459",0.9,100,0,40,0,36
"460",0.9,100,0,20,0,28
"461",0.9,100,40,40,0,52
"462",0.9,100,60,50,0,64
"463",0.9,100,30,40,0,48
"464",0.9,100,0,50,0,40
"465",0.9,100,50,60,0,64
"466",0.9,100,0,40,0,36
"467",0.9,100,30,30,0,44
"468",0.9,100,30,30,0,44
"469",0.9,100,20,40,0,44
"470",0.9,100,40,60,0,60
"471",0.9,100,20,30,0,40
"472",0.9,100,30,30,0,44
"473",0.9,100,0,10,0,24
"474",0.9,100,0,40,0,36
"475",0.9,100,0,0,0,20
"476",0.9,100,40,60,0,60
"477",0.9,100,80,40,0,68
"478",0.9,100,40,50,0,56
"479",0.9,100,40,40,0,52
"480",0.9,100,20,30,0,40
"481",0.9,100,10,50,0,44
"482",0.9,100,20,40,0,44
"483",0.9,100,20,40,0,44
"484",0.9,100,30,30,0,44
"485",0.9,100,0,20,0,28
"486",0.9,100,0,50,0,40
"487",0.9,100,30,40,0,48
"488",0.9,100,30,40,0,48
"489",0.9,100,20,50,0,48
"490",0.9,100,20,10,0,32
"491",0.9,100,60,50,0,64
"492",0.9,100,0,10,0,24
"493",0.9,100,40,30,0,48
"494",0.9,100,40,30,0,48
"495",0.9,100,10,30,0,36
"496",0.9,100,0,30,0,32
"497",0.9,100,10,40,0,40
"498",0.9,100,30,20,0,40
"499",0.9,100,10,30,0,36
"500",0.9,100,0,20,0,28
